chr,min_n_snps,max_n_snps,median_n_snps,mean_n_snps,total_gene_num,pct_lt_3
1,1,40,3,4.52150537634409,1860,45.0537634408602
2,1,58,3,5.09665427509294,1345,42.6022304832714
3,1,61,3,5.47977941176471,1088,40.9007352941176
4,1,31,3,4.81951871657754,748,41.5775401069519
5,1,50,3,4.98545861297539,894,42.841163310962
6,1,95,4,7.79634966378482,1041,38.1364073006724
7,1,100,3,6.52164502164502,924,37.8787878787879
8,1,49,3,4.90661478599222,771,46.0440985732815
9,1,36,3,4.48005319148936,752,46.1436170212766
10,1,54,3,5.23161764705882,816,41.9117647058824
11,1,83,3,5.06586826347305,1002,43.7125748502994
12,1,36,2,4.28194297782471,947,51.636747624076
13,1,34,3,4.78712871287129,404,41.8316831683168
14,1,32,2,4.18095238095238,630,50.6349206349206
15,1,46,3,5.55783308931186,683,41.8740849194729
16,1,61,3,4.96076233183857,892,43.3856502242153
17,1,57,3,4.98869565217391,1150,45.0434782608696
18,1,25,3,4.04022988505747,348,46.8390804597701
19,1,62,3,4.04130434782609,1380,47.6086956521739
20,1,46,3,4.22532588454376,537,46.3687150837989
21,1,33,3,5.22966507177034,209,39.2344497607656
22,1,40,3,5.08139534883721,516,41.6666666666667
