gene_id	n_snps	min_pval	chr
ENSG00000000457.14	10	2.33101754551974e-08	1
ENSG00000000971.16	5	6.99311238357945e-05	1
ENSG00000001460.18	10	3.75569076079972e-17	1
ENSG00000001461.17	6	1.19323023032516e-05	1
ENSG00000004455.17	4	2.38467998111267e-07	1
ENSG00000004487.18	8	0.000220356823620735	1
ENSG00000006555.11	1	0.000511414350267054	1
ENSG00000007341.19	6	8.81200125349732e-14	1
ENSG00000007908.16	1	0.000309988060289361	1
ENSG00000007923.17	1	0.000245337115616031	1
ENSG00000007933.13	6	4.69568217470915e-08	1
ENSG00000008118.10	5	6.33627888281729e-08	1
ENSG00000008128.23	5	7.77114398467691e-06	1
ENSG00000008130.15	7	3.25068250208506e-10	1
ENSG00000009307.17	3	0.000116064550343847	1
ENSG00000009709.12	7	2.98797984507745e-07	1
ENSG00000009724.17	7	1.10086237044283e-05	1
ENSG00000009780.16	2	0.000222935870210132	1
ENSG00000010072.16	3	9.62428231543312e-05	1
ENSG00000010165.20	1	0.000923357486358794	1
ENSG00000010803.16	5	2.1038958722092e-05	1
ENSG00000010932.17	2	0.000112056298653398	1
ENSG00000011007.13	4	0.000421552171548752	1
ENSG00000011009.11	1	0.000406461413189474	1
ENSG00000011021.23	7	6.8833145196843e-05	1
ENSG00000014914.21	5	3.00706512676295e-06	1
ENSG00000016602.9	6	8.58449001259871e-06	1
ENSG00000018625.15	1	0.000267724717018235	1
ENSG00000020633.19	3	1.5028857543537e-05	1
ENSG00000023572.10	18	6.07636913589843e-11	1
ENSG00000023909.10	8	2.13057124400724e-08	1
ENSG00000024526.17	1	0.000806817786626681	1
ENSG00000025800.14	10	2.25241886171595e-08	1
ENSG00000026751.17	3	0.000385362226535495	1
ENSG00000027869.12	3	0.000309670159924864	1
ENSG00000028137.19	2	0.000653351835932973	1
ENSG00000031698.13	3	0.00055031394759609	1
ENSG00000033122.21	1	0.000397513560180443	1
ENSG00000034971.17	1	0.00060532319882246	1
ENSG00000035687.10	4	4.02420126866e-05	1
ENSG00000036549.13	3	0.000106551643014859	1
ENSG00000037637.11	15	1.17273419800628e-14	1
ENSG00000040487.13	7	1.05872239130676e-06	1
ENSG00000041988.16	7	2.99638129152529e-08	1
ENSG00000043514.17	8	3.47702396876411e-10	1
ENSG00000047410.14	1	0.000724033510904153	1
ENSG00000048707.15	8	3.90641899382207e-07	1
ENSG00000049089.15	1	0.00084285233408912	1
ENSG00000049239.13	5	6.93119121633011e-09	1
ENSG00000049245.13	4	7.87626745419581e-10	1
ENSG00000049246.15	1	4.50450291017372e-05	1
ENSG00000050628.21	25	1.40988530612774e-27	1
ENSG00000052723.12	4	0.000144667072344515	1
ENSG00000053371.13	5	2.16748956603867e-07	1
ENSG00000053372.5	15	1.58486566828379e-21	1
ENSG00000054118.15	4	3.81404932557044e-05	1
ENSG00000054267.22	5	2.94547662685975e-05	1
ENSG00000054277.14	1	0.000443008499772306	1
ENSG00000054282.16	9	8.79216789041595e-09	1
ENSG00000054392.13	12	9.28686636485191e-18	1
ENSG00000054523.19	2	0.000762490305591587	1
ENSG00000055070.17	6	3.11792702843976e-05	1
ENSG00000055732.13	7	7.89170028411512e-12	1
ENSG00000057252.13	20	1.03011902220255e-09	1
ENSG00000057468.7	28	3.82883825136696e-13	1
ENSG00000057757.10	1	0.000854886348513874	1
ENSG00000058085.15	13	6.50743308800341e-26	1
ENSG00000058453.17	14	1.07525534660603e-13	1
ENSG00000058668.15	5	1.88135715032717e-05	1
ENSG00000058673.17	2	0.0007696907958767	1
ENSG00000058799.15	2	4.69316575225415e-07	1
ENSG00000058804.12	1	0.000790511389795644	1
ENSG00000060642.12	8	1.28060762046111e-05	1
ENSG00000060656.20	6	2.20596574715153e-07	1
ENSG00000060688.13	2	0.000432019387499871	1
ENSG00000060718.22	6	8.80065838837938e-05	1
ENSG00000064703.13	2	4.18207311707951e-05	1
ENSG00000064886.14	1	0.000860986966592712	1
ENSG00000065135.12	1	0.000219817183701775	1
ENSG00000065243.20	7	2.99687889666304e-05	1
ENSG00000065600.13	10	2.23331702093985e-05	1
ENSG00000065978.19	1	8.88247524737539e-07	1
ENSG00000066027.12	3	0.000155841368626487	1
