chr,min_n_snps,max_n_snps,median_n_snps,mean_n_snps,total_gene_num,pct_lt_3
1,1,26,2,3.90583657587549,1285,50.1167315175097
2,1,49,3,4.43311403508772,912,47.9166666666667
3,1,44,3,4.61439588688946,778,49.7429305912596
4,1,22,3,3.96197718631179,526,49.4296577946768
5,1,37,3,4.33333333333333,615,48.130081300813
6,1,81,3,6.83026315789474,760,44.7368421052632
7,1,80,3,5.76268656716418,670,43.4328358208955
8,1,40,2,4.34608030592734,523,52.3900573613767
9,1,27,2,3.7824427480916,524,52.2900763358779
10,1,52,3,4.38474576271186,590,47.1186440677966
11,1,67,2,4.41968162083936,691,50.0723589001447
12,1,26,2,3.8752107925801,593,52.1079258010118
13,1,29,3,4.19354838709677,279,48.0286738351255
14,1,27,2,3.63882063882064,407,55.2825552825553
15,1,45,3,4.76923076923077,481,49.8960498960499
16,1,41,3,4.23586429725364,619,48.1421647819063
17,1,43,2,4.21271393643032,818,55.1344743276284
18,1,17,2,3.19262295081967,244,56.1475409836066
19,1,42,2,3.25132555673383,943,59.5970307529162
20,1,37,2,3.41935483870968,372,56.4516129032258
21,1,26,3,4.32484076433121,157,42.0382165605096
22,1,31,3,4.17754569190601,383,47.5195822454308
