chr,gene_id,chr,method,n_snps,beta,se,pvalue,intercept,intercept_se,intercept_pvalue
1,ENSG00000143815.15,1,MR-Egger,6,1.04595043201273,0.82492049101307,0.204819055769776,-0.257206695873385,0.249566417066511,0.302721769497842
1,ENSG00000143742.14,1,MR-Egger,4,-0.500286918002346,0.552736266507324,0.365407310573343,0.161188354444799,0.157161838750323,0.305070648294115
1,ENSG00000196187.12,1,MR-Egger,4,-0.544919538549904,0.354813256221195,0.124589279241704,0.0330365034753714,0.0515915468292736,0.521946889645611
1,ENSG00000243709.1,1,MR-Egger,5,0.172498810018296,0.149630292753513,0.248978742551178,-0.105620087530367,0.0765450711688037,0.16763536442362
1,ENSG00000143811.20,1,MR-Egger,4,-0.479298749986938,0.858913920230806,0.576824681722983,0.0939068488920669,0.123376281434672,0.446572356853521
1,ENSG00000143768.13,1,MR-Egger,3,-0.246194387699147,0.113783681441703,0.0304869516474828,0.121157154490094,0.0520583327300066,0.0199474681959382
1,ENSG00000272562.2,1,MR-Egger,5,0.0217022708500782,0.755423776171429,0.977081042734927,-0.0127373626205038,0.252494240099119,0.959766859816591
1,ENSG00000163041.13,1,MR-Egger,9,0.0253559774338525,0.135607626019468,0.851675946813526,-0.00940172300289484,0.0520266975528324,0.85659553371945
1,ENSG00000225518.3,1,MR-Egger,4,-0.196898138483667,0.142236790008357,0.166267151843897,0.0811651454241728,0.0583499417600528,0.164223470455516
1,ENSG00000185155.12,1,MR-Egger,4,0.103213500120384,0.270880618474951,0.703181376708601,-0.0496608543935566,0.113362373392959,0.66133426522849
1,ENSG00000203685.11,1,MR-Egger,7,0.0357749296070066,0.200425227461308,0.858334135388894,-0.0222743462235929,0.0507188312350541,0.660536116574817
1,ENSG00000143772.11,1,MR-Egger,3,0.0954122771110208,0.421693197313596,0.820999254489383,0.0024210618314763,0.0561909971731914,0.965632744856313
1,ENSG00000143801.18,1,MR-Egger,5,1.74902847165901,4.01746479305177,0.663303849621411,-0.325259622466352,0.716450286210638,0.649837674874058
1,ENSG00000143776.20,1,MR-Egger,9,-0.368990655095198,0.620903698870995,0.552324847841742,0.0683563576116649,0.099907525624384,0.493851229494657
1,ENSG00000162733.19,1,MR-Egger,4,0.71306257865402,0.524197904190846,0.173737319812672,-0.101088754924986,0.118017832109153,0.391690907706938
1,ENSG00000132196.16,1,MR-Egger,3,0.228739577252635,0.319217855395822,0.473644026785948,2.15304953224587e-05,0.0730280388594477,0.999764763646626
1,ENSG00000185860.14,1,MR-Egger,3,-0.184187370875375,0.154272733161218,0.232514159219934,0.0883158410880471,0.0740066138093033,0.232732071617207
1,ENSG00000143228.13,1,MR-Egger,5,-0.179196116635357,0.136726896396279,0.189988374903171,0.048829893447199,0.056374310283083,0.386395414346715
1,ENSG00000143512.13,1,MR-Egger,5,0.0973344391016889,0.0962608555033509,0.311943275076606,-0.0272338381301533,0.0597924511813515,0.648769095835365
1,ENSG00000143498.18,1,MR-Egger,6,0.193210619922093,0.233658390888823,0.408297390853696,-0.0668924442213087,0.07637615657511,0.381123063460751
1,ENSG00000225265.2,1,MR-Egger,9,-0.225091955557475,0.102821955246167,0.028586453683249,0.111209428984824,0.0526044522833165,0.0345093953025397
1,ENSG00000154305.18,1,MR-Egger,4,-0.793995439103478,0.532711633978102,0.136098365878794,0.100448508899743,0.092783965284493,0.278983192805386
1,ENSG00000272750.1,1,MR-Egger,7,0.14350514649103,0.106104210305507,0.176217822958236,-0.102943953288167,0.0732673606768795,0.160007838519475
