chr,gene_id,chr,method,n_snps,beta,se,pvalue
1,ENSG00000143815.15,1,Weighted Median,6,0.230271236608629,0.194765868213578,0.237087600766497
1,ENSG00000143742.14,1,Weighted Median,4,-0.190031338651965,0.268060744121132,0.478379411044645
1,ENSG00000196187.12,1,Weighted Median,4,-0.269566155876699,0.242296172252648,0.265902543756905
1,ENSG00000243709.1,1,Weighted Median,5,-0.0497169166015453,0.0672885398426771,0.459991056450487
1,ENSG00000143811.20,1,Weighted Median,4,0.249632931057344,0.213356393311355,0.241989744629756
1,ENSG00000143768.13,1,Weighted Median,3,0.0039057352122765,0.0853466915473808,0.963499013578672
1,ENSG00000272562.2,1,Weighted Median,5,-0.0138091128517591,0.0786701907681238,0.860661859176518
1,ENSG00000163041.13,1,Weighted Median,9,-0.0256964282393353,0.0556292422358716,0.644136516679641
1,ENSG00000225518.3,1,Weighted Median,4,-0.0506686281932906,0.0843479468507242,0.54803337029725
1,ENSG00000185155.12,1,Weighted Median,4,-0.0100617898789562,0.0662457996838976,0.87927708453779
1,ENSG00000203685.11,1,Weighted Median,7,-0.033988115854328,0.144670509740128,0.814259453778589
1,ENSG00000143772.11,1,Weighted Median,3,0.125463224582643,0.332001676859071,0.705505350338694
1,ENSG00000143801.18,1,Weighted Median,5,-0.119639950242207,0.160089619654479,0.454863729008103
1,ENSG00000143776.20,1,Weighted Median,9,0.0377180101593381,0.145920288263961,0.796033658088175
1,ENSG00000162733.19,1,Weighted Median,4,0.371154568033798,0.20272184640231,0.0671219956043843
1,ENSG00000132196.16,1,Weighted Median,3,0.228845639286285,0.146443753662111,0.118126411650131
1,ENSG00000185860.14,1,Weighted Median,3,-0.0360631822446168,0.0682154165569732,0.597037056832767
1,ENSG00000143228.13,1,Weighted Median,5,-0.0811837258026569,0.0745371513554439,0.27607835396601
1,ENSG00000143512.13,1,Weighted Median,5,0.0675308605043203,0.065318458526936,0.30119647059157
1,ENSG00000143498.18,1,Weighted Median,6,-0.0297198014720478,0.0721935890065312,0.680582670347284
1,ENSG00000225265.2,1,Weighted Median,9,-0.0601416375404856,0.0561747696756369,0.284341883382541
1,ENSG00000154305.18,1,Weighted Median,4,-0.249698898914578,0.214029111009684,0.243348275806368
1,ENSG00000272750.1,1,Weighted Median,7,0.0146159984034234,0.0331979105135274,0.659742562100526
1,ENSG00000162819.12,1,Weighted Median,5,0.0411043507011957,0.125385587062447,0.743045065436031
1,ENSG00000186063.13,1,Weighted Median,3,-0.00920213421644137,0.14177306036439,0.948247652978888
1,ENSG00000198715.13,1,Weighted Median,4,-0.0376894334912594,0.125460893610166,0.763866099826298
1,ENSG00000163468.15,1,Weighted Median,3,-0.103404094753293,0.358670967084485,0.773118697109451
1,ENSG00000163382.13,1,Weighted Median,8,0.0623789991403633,0.0504356962613389,0.216160384907686
1,ENSG00000132702.13,1,Weighted Median,3,-0.0052915031030894,0.241594585511006,0.982525804192653
1,ENSG00000132692.19,1,Weighted Median,4,0.158888084769008,0.172198103901657,0.356160858662724
1,ENSG00000143320.9,1,Weighted Median,7,-0.12459621278971,0.0865657408505047,0.150058535344189
1,ENSG00000223356.1,1,Weighted Median,3,-0.123696574707136,0.0955201006410348,0.195327292248795
1,ENSG00000132694.19,1,Weighted Median,4,0.0147200807828662,0.278419908526571,0.957835429622959
1,ENSG00000137936.18,1,Weighted Median,3,-0.181762843143199,0.295947238907621,0.539100924825277
1,ENSG00000260464.1,1,Weighted Median,5,0.124246310222176,0.10835459108619,0.251520509197047
1,ENSG00000023909.10,1,Weighted Median,4,-0.09702365763834,0.177048274664374,0.583687236808937
1,ENSG00000198691.14,1,Weighted Median,3,-0.0653194283444159,0.0896052388792194,0.466020714418905
1,ENSG00000117528.14,1,Weighted Median,9,0.144994292892338,0.174208051527798,0.405236612892838
1,ENSG00000288736.1,1,Weighted Median,6,-0.00782533219059796,0.0771137344887479,0.919171178941502
1,ENSG00000223675.1,1,Weighted Median,4,-0.0503548616258359,0.0815193726645897,0.536770320674138
1,ENSG00000143036.17,1,Weighted Median,6,-0.0508310936860268,0.125170874588326,0.684673812729746
1,ENSG00000224081.10,1,Weighted Median,5,-0.189143555812925,0.129002612605816,0.142593966512637
1,ENSG00000117519.16,1,Weighted Median,7,-0.0900653336488302,0.277396056341239,0.745422230422467
