chr,min_n_snps,max_n_snps,median_n_snps,mean_n_snps,total_gene_num,pct_lt_3
1,1,47,3,5.33255269320843,2135,37.423887587822
2,1,62,4,5.98954931417374,1531,34.6178967994775
3,1,71,4,6.31913183279743,1244,35.1286173633441
4,1,35,4,5.7396449704142,845,33.0177514792899
5,1,62,4,5.76282671829623,1033,35.0435624394966
6,1,106,4,8.85178875638842,1174,30.4940374787053
7,1,105,4,7.22910798122066,1065,32.8638497652582
8,1,63,4,5.79703534777651,877,35.6898517673888
9,1,42,4,5.46713615023474,852,34.9765258215962
10,1,57,4,6.06832971800434,922,32.646420824295
11,1,95,4,5.86741767764298,1154,35.2686308492201
12,1,40,3,4.95390070921986,1128,42.6418439716312
13,1,38,4,5.71058315334773,463,33.0453563714903
14,1,42,3,4.95448275862069,725,39.1724137931035
15,1,50,4,6.45736434108527,774,35.5297157622739
16,1,65,4,5.84857423795477,1017,33.0383480825959
17,1,61,4,5.88734567901235,1296,34.4135802469136
18,1,27,4,5.08115183246073,382,34.0314136125654
19,1,79,4,5.02130406714009,1549,34.7320852162686
20,1,53,3,5.05365853658537,615,35.4471544715447
21,1,38,5,6.31932773109244,238,30.2521008403361
22,1,44,4,6.05128205128205,585,31.6239316239316
