gene_id	n_snps	min_pval	chr
ENSG00000000457.14	17	1.98872347315597e-08	1
ENSG00000000460.17	2	0.000123771051248368	1
ENSG00000000938.13	1	0.000480648219994943	1
ENSG00000000971.16	3	0.000420923934303122	1
ENSG00000001460.18	6	7.76899986077449e-13	1
ENSG00000001461.17	4	1.39833976570925e-05	1
ENSG00000004487.18	1	0.000899251303846297	1
ENSG00000006555.11	1	0.000815249840263469	1
ENSG00000007341.19	5	1.97158901122975e-07	1
ENSG00000007908.16	1	0.000531063963277198	1
ENSG00000007923.17	3	0.000107945984704296	1
ENSG00000007933.13	6	1.14958651323723e-05	1
ENSG00000008118.10	1	0.000556854414200341	1
ENSG00000008128.23	1	8.67735737828837e-05	1
ENSG00000008130.15	1	2.06537550030404e-05	1
ENSG00000009307.17	4	0.000254314792103101	1
ENSG00000009709.12	4	9.43995585482504e-08	1
ENSG00000009724.17	7	8.19806077999393e-06	1
ENSG00000009780.16	4	0.000161074956490733	1
ENSG00000010072.16	5	0.000102387044094893	1
ENSG00000011007.13	1	0.000270405481231341	1
ENSG00000016602.9	4	6.6031706075538e-07	1
ENSG00000018625.15	1	0.000356489305087729	1
ENSG00000020633.19	1	0.000177859533833116	1
ENSG00000023909.10	3	3.18409149613101e-05	1
ENSG00000025800.14	12	5.54532090737367e-05	1
ENSG00000026751.17	2	0.000412526634991061	1
ENSG00000027869.12	4	0.000282430010230763	1
ENSG00000028137.19	2	0.000603276170022066	1
ENSG00000031698.13	2	0.000137568627761607	1
ENSG00000035687.10	4	4.00372916374774e-05	1
ENSG00000037637.11	7	2.30984253296066e-07	1
ENSG00000040487.13	2	0.000224022743335006	1
ENSG00000041988.16	2	0.000518977350642252	1
ENSG00000043514.17	1	0.000749317272471305	1
ENSG00000047410.14	3	3.72414999716546e-05	1
ENSG00000048707.15	2	2.16878601418741e-05	1
ENSG00000049239.13	6	1.73274537001553e-06	1
ENSG00000049245.13	7	5.087603808418e-09	1
ENSG00000049246.15	1	0.000636665445683756	1
ENSG00000050628.21	4	6.66431422163463e-05	1
ENSG00000052723.12	5	0.000241565600468926	1
ENSG00000053371.13	5	5.04924342787529e-05	1
ENSG00000053372.5	9	1.22668118636841e-11	1
ENSG00000054116.12	2	0.000286433901313655	1
ENSG00000054118.15	3	8.68956763290113e-05	1
ENSG00000054277.14	4	0.000109371460428224	1
ENSG00000054282.16	7	1.58315358296085e-05	1
ENSG00000054392.13	5	4.68030724865603e-05	1
ENSG00000054523.19	5	5.60259732209441e-05	1
ENSG00000055070.17	2	0.000195821025742313	1
ENSG00000055732.13	9	1.99948106161598e-13	1
ENSG00000057252.13	8	7.51671605264948e-08	1
ENSG00000057468.7	16	4.30007451182959e-10	1
ENSG00000057757.10	3	3.44664944466842e-05	1
ENSG00000058085.15	8	1.80165921019906e-13	1
ENSG00000058453.17	4	2.72685916788521e-05	1
ENSG00000058668.15	7	7.00571196986638e-05	1
ENSG00000058673.17	3	2.01917760492725e-05	1
ENSG00000058799.15	1	0.000915204915573433	1
ENSG00000058804.12	2	1.72255394817724e-05	1
ENSG00000059588.10	4	5.53652248494633e-05	1
ENSG00000060656.20	1	0.000783892725487614	1
ENSG00000060688.13	2	0.000156258635371657	1
ENSG00000060718.22	9	9.35951224601587e-05	1
ENSG00000064886.14	1	0.000584524663873368	1
ENSG00000065135.12	2	0.000724272502290185	1
ENSG00000065183.16	2	0.000522588708153534	1
ENSG00000065243.20	1	0.000947670855517721	1
ENSG00000065526.12	2	0.000100981770525923	1
ENSG00000065600.13	11	1.12595302209443e-07	1
ENSG00000066056.14	1	9.67413022218477e-05	1
ENSG00000066135.13	2	0.000512131110291986	1
ENSG00000066136.21	5	0.000236602744877062	1
ENSG00000066185.13	4	1.94683201410289e-06	1
ENSG00000066294.15	4	2.87311099509091e-06	1
ENSG00000066322.15	2	0.000561787012768201	1
ENSG00000066557.6	2	0.000223881327189155	1
ENSG00000067208.16	20	5.80295048821489e-10	1
ENSG00000067334.14	3	0.0003045379589804	1
ENSG00000067533.6	8	1.64149640432557e-14	1
ENSG00000067704.10	1	0.000732756987022389	1
ENSG00000069248.12	1	0.000856231362811794	1
ENSG00000069275.13	3	0.000142792007235715	1
ENSG00000069424.16	2	0.000834795491110715	1
ENSG00000070759.17	10	4.61035988779407e-05	1
ENSG00000070785.17	13	1.23175855136435e-07	1
ENSG00000070831.17	1	0.00077370437851708	1
ENSG00000070886.12	5	6.12846362581436e-05	1
ENSG00000073756.13	1	0.00015840136079553	1
ENSG00000074800.16	3	0.000171209305660625	1
ENSG00000074964.17	1	0.000881021255218649	1
ENSG00000075151.24	3	7.00737135527471e-05	1
ENSG00000075391.17	3	0.000401977090956075	1
ENSG00000075945.13	1	1.37006373053589e-05	1
ENSG00000076258.10	4	1.75364944085068e-05	1
ENSG00000076864.21	1	6.98716772216183e-05	1
ENSG00000077152.11	1	0.000290411385237903	1
ENSG00000077254.14	5	0.000134599378170536	1
ENSG00000077522.15	2	0.000579385896870836	1
ENSG00000077549.19	3	3.44814137073241e-05	1
ENSG00000077585.14	5	4.01812386391438e-05	1
ENSG00000078618.23	16	2.24936802216759e-07	1
ENSG00000078900.15	2	0.00043285165876315	1
ENSG00000079277.22	1	0.000873471635134174	1
ENSG00000079335.20	1	0.000710987144253545	1
ENSG00000079739.17	4	2.61994835654979e-05	1
ENSG00000080947.15	1	6.67976647263182e-05	1
ENSG00000081019.14	1	0.000737939188922977	1
ENSG00000081026.19	6	1.33397387323466e-05	1
ENSG00000081248.12	4	0.000330906870279983	1
ENSG00000081721.12	3	0.000435493739784857	1
ENSG00000081870.12	2	4.71236396260225e-06	1
ENSG00000081985.13	2	0.000625188698563374	1
ENSG00000082497.12	3	0.000595987099230058	1
ENSG00000083444.17	7	3.98290401217329e-09	1
ENSG00000084070.12	1	0.000534083775049783	1
ENSG00000084072.17	3	2.07225273904951e-21	1
ENSG00000084073.10	2	0.000239660104258898	1
ENSG00000084628.10	19	1.31020498856552e-36	1
ENSG00000084636.18	5	5.43507070497657e-17	1
ENSG00000084652.16	2	0.000147568436835181	1
ENSG00000085433.17	2	0.000167629767269983	1
ENSG00000085465.13	2	3.97641226753074e-05	1
ENSG00000085491.17	7	1.82421510902562e-15	1
ENSG00000085552.18	6	0.000351565936098189	1
ENSG00000085832.17	9	2.21256817225342e-05	1
ENSG00000085840.13	1	0.000159608879549481	1
ENSG00000085998.15	2	0.000500462360890374	1
ENSG00000085999.13	5	8.47412217856703e-05	1
ENSG00000086619.15	9	7.02895191513781e-23	1
ENSG00000088035.18	12	6.75188800248436e-06	1
ENSG00000088280.20	3	0.00018564252478838	1
ENSG00000090020.11	2	0.000339573116371729	1
ENSG00000090273.14	14	7.27045623102732e-07	1
ENSG00000090432.7	4	4.34023122691719e-13	1
ENSG00000090621.15	4	0.000145857301294	1
ENSG00000090686.16	5	0.000268673764717988	1
ENSG00000091483.8	1	0.000441721411651302	1
ENSG00000092621.13	3	2.57501528381831e-19	1
ENSG00000092853.14	1	0.000426476092078126	1
ENSG00000092969.12	6	0.000210249127200098	1
ENSG00000092978.11	1	0.000944027076321875	1
ENSG00000094963.14	5	2.91495735833832e-05	1
ENSG00000094975.14	5	5.42872230787062e-06	1
ENSG00000097021.20	3	0.000119001453706532	1
ENSG00000097033.14	2	1.43921346156909e-05	1
ENSG00000097046.13	5	2.61928184157277e-08	1
ENSG00000099260.12	2	0.000504435426364489	1
ENSG00000107404.21	1	0.000880796897631443	1
ENSG00000116128.12	1	0.000145888642052167	1
ENSG00000116132.12	4	0.000241525170828921	1
ENSG00000116133.13	2	0.000487943599244962	1
ENSG00000116138.13	1	0.000432328824681903	1
ENSG00000116141.17	1	0.000350692544492062	1
ENSG00000116147.17	1	0.000769229742948699	1
ENSG00000116151.14	3	0.000126841037796448	1
ENSG00000116157.6	1	0.000205005032790759	1
ENSG00000116161.18	4	0.000138547324760681	1
ENSG00000116171.19	1	3.29326710464349e-05	1
ENSG00000116183.11	2	0.000742673330328994	1
ENSG00000116191.19	1	0.000595559266435285	1
ENSG00000116194.13	5	2.72807124649089e-06	1
ENSG00000116198.14	5	3.33993949940814e-10	1
ENSG00000116199.12	6	2.243865979874e-08	1
ENSG00000116205.14	5	0.000465468647532328	1
ENSG00000116209.12	3	0.000121809773316928	1
ENSG00000116212.15	4	0.000185615630156234	1
ENSG00000116213.16	2	2.88009792147499e-06	1
ENSG00000116221.15	3	6.66251561450346e-05	1
ENSG00000116237.16	7	9.50479009904296e-11	1
ENSG00000116251.11	1	0.00011671847353368	1
ENSG00000116254.18	1	0.000922331676801391	1
ENSG00000116260.17	1	0.000191704800955714	1
ENSG00000116266.11	5	0.000304288340363907	1
ENSG00000116273.6	1	0.000745115149215177	1
ENSG00000116285.13	2	0.000108203757671248	1
ENSG00000116288.13	5	0.000211982513026706	1
ENSG00000116329.12	1	0.000393198896235911	1
ENSG00000116337.20	1	0.000280896441673365	1
ENSG00000116350.18	1	0.000145810078142374	1
ENSG00000116353.16	9	3.60804370712918e-07	1
ENSG00000116455.14	4	0.000231438074349949	1
ENSG00000116459.11	4	7.4325426941104e-07	1
ENSG00000116473.15	1	8.83704012390195e-05	1
ENSG00000116478.12	2	6.57202472329524e-05	1
ENSG00000116489.13	7	4.76799045494218e-08	1
ENSG00000116497.18	2	0.000255291559486507	1
ENSG00000116521.11	1	0.000505368941063844	1
ENSG00000116525.14	1	0.000767896158188659	1
ENSG00000116539.14	1	0.000396236336755918	1
ENSG00000116544.12	1	0.000657681905413322	1
ENSG00000116560.11	6	0.000270419783423463	1
ENSG00000116574.6	1	0.000888366458232203	1
ENSG00000116580.20	4	0.000382218705583439	1
ENSG00000116604.19	3	0.000159377777503169	1
ENSG00000116641.18	2	0.000121201842184768	1
ENSG00000116649.10	2	0.000178024643796215	1
ENSG00000116652.6	2	0.000881283465737435	1
ENSG00000116661.11	2	0.000607563841020858	1
ENSG00000116663.11	3	0.000713842054627515	1
ENSG00000116668.13	2	0.000211564851016312	1
ENSG00000116670.15	1	0.000459088558418551	1
ENSG00000116675.16	6	3.4686108203337e-07	1
ENSG00000116678.20	5	1.88046782900866e-05	1
ENSG00000116679.16	3	0.000265208362149049	1
ENSG00000116685.16	3	0.000120320689507159	1
ENSG00000116688.18	6	4.73002392245394e-11	1
ENSG00000116690.13	2	0.000375350582048386	1
ENSG00000116698.22	1	0.000973033145750176	1
ENSG00000116701.15	1	0.000189224595340609	1
ENSG00000116711.10	3	0.000653680840442615	1
ENSG00000116717.13	1	0.000630810517421771	1
ENSG00000116731.23	1	0.000420919147497536	1
ENSG00000116745.7	1	1.39801461536741e-05	1
ENSG00000116750.14	3	0.000174905971864593	1
ENSG00000116752.6	7	8.30143147941993e-05	1
ENSG00000116771.6	9	8.8270600649233e-07	1
ENSG00000116774.12	1	0.000202259284183405	1
ENSG00000116783.15	13	8.2404190625782e-17	1
ENSG00000116786.13	4	0.00032060297952015	1
ENSG00000116791.14	6	1.92240843373644e-12	1
ENSG00000116793.16	14	1.35407449684162e-06	1
ENSG00000116819.9	1	0.000391811164319158	1
