chr,gene_id,chr,method,n_snps,beta,se,pvalue,intercept,intercept_se,intercept_pvalue
1,ENSG00000143815.15,1,MR-Egger,11,-0.085446753301005,0.220582744290068,0.698483599800969,0.0343730937852803,0.0432115366167842,0.426345366221807
1,ENSG00000289602.1,1,MR-Egger,3,0.17192971361654,0.673073710783993,0.798383549391904,-0.0461297779906151,0.315871392866533,0.8838900119786
1,ENSG00000196187.12,1,MR-Egger,5,-0.610353538231768,0.379866847410339,0.108107787121644,0.095229516152819,0.0671112518588793,0.155904881779699
1,ENSG00000243709.1,1,MR-Egger,8,0.060725468181731,0.144782098524371,0.674904362838217,-0.0560993449561027,0.0828275943057006,0.498213981747728
1,ENSG00000143768.13,1,MR-Egger,4,0.144718338427156,0.184660672391188,0.43321689522034,-0.0260225569084492,0.0925361600571835,0.778545494917435
1,ENSG00000272562.2,1,MR-Egger,5,-0.030806973707576,0.168742593485157,0.855137106662265,0.0183437438385,0.0672446742529774,0.78501385646864
1,ENSG00000163041.13,1,MR-Egger,19,0.148015565454002,0.083627795196458,0.0767383604123471,-0.0604145660834277,0.0373661266978981,0.105915608986468
1,ENSG00000225518.3,1,MR-Egger,3,-0.351530571328273,0.508282985420055,0.489186017522281,0.131079781911628,0.189936355794748,0.49011573389256
1,ENSG00000182827.9,1,MR-Egger,3,-0.193450534997111,0.282363028802699,0.493272721964199,0.0941081177515913,0.137568132609733,0.493922311310732
1,ENSG00000143776.20,1,MR-Egger,17,0.104222310040751,0.212717331640518,0.624164445507887,-0.00593195091841346,0.0472537150632871,0.900100758696123
1,ENSG00000239887.6,1,MR-Egger,5,0.00608642161013487,0.149816066215282,0.96759408763545,0.0339371644584941,0.0759181904157936,0.654858574913334
1,ENSG00000117143.13,1,MR-Egger,4,0.0444377473480951,0.165927925087136,0.788842837032329,-0.084208270561427,0.0601682936264312,0.161649434288601
1,ENSG00000143248.13,1,MR-Egger,4,-0.200764967631438,0.281405680145962,0.475575948461475,0.0924547871950084,0.0692118093206977,0.181606847975364
1,ENSG00000232995.7,1,MR-Egger,3,-0.976802259260512,0.843183454235078,0.246672518140499,0.497842266276983,0.459425061081944,0.278533240643063
1,ENSG00000143512.13,1,MR-Egger,9,0.0527780802976352,0.128802558958436,0.681982331856364,-0.0299095798805141,0.0646710432470925,0.643731423183079
1,ENSG00000143498.18,1,MR-Egger,3,-0.636007032086166,0.496830147586968,0.200499521825081,0.222702538489661,0.188927882158009,0.23848973353183
1,ENSG00000225265.2,1,MR-Egger,10,-0.3164638693895,0.159420159715952,0.0471341071273319,0.189142510154995,0.114890631141435,0.0997054769252303
1,ENSG00000154305.18,1,MR-Egger,4,-0.353692148755567,0.48185461355488,0.462934999020615,0.0782672060475166,0.111279411802467,0.481844198968246
1,ENSG00000272750.1,1,MR-Egger,12,0.0164870475651254,0.0724282103356018,0.819931597836986,-0.0137538755037096,0.0483324716201589,0.775975118894104
1,ENSG00000162819.12,1,MR-Egger,4,0.138405171910124,0.247332362971181,0.575757872494866,-0.00425347152223881,0.0829556811280735,0.95910716731903
1,ENSG00000186063.13,1,MR-Egger,7,0.063005098896159,0.130849292765504,0.63015485652745,-0.0168002596204677,0.0334162015184544,0.615134489559117
1,ENSG00000287684.1,1,MR-Egger,4,-0.0555844194621645,0.0892912941303151,0.533608808660383,0.0301151285816805,0.0404252828807382,0.456297249662167
1,ENSG00000198715.13,1,MR-Egger,10,-0.319401671593749,0.117509117097919,0.00656577537563252,0.0783426617213261,0.0602828083067038,0.193743082555433
1,ENSG00000125462.19,1,MR-Egger,3,-0.0244110594045756,0.787153715399695,0.975260123270915,-0.0169927768152492,0.34746285835242,0.96099476171473
1,ENSG00000116604.19,1,MR-Egger,3,-0.0955810478931172,0.541319513616303,0.85984578102164,0.017315732948894,0.0919089627717391,0.850562380206343
1,ENSG00000163382.13,1,MR-Egger,7,0.169607517138631,0.173478748173844,0.328230293300924,-0.0408125702243719,0.0533811951981301,0.444539804148806
1,ENSG00000132702.13,1,MR-Egger,4,-0.0463177933945307,0.409975366591718,0.910048777409823,-0.000124632605157977,0.095119861413055,0.998954556898033
1,ENSG00000272068.1,1,MR-Egger,5,0.129490489002538,0.159874685743324,0.417968958927128,-0.0103284698371246,0.0622966651702853,0.868318353914714
1,ENSG00000272405.1,1,MR-Egger,3,0.200942254957489,0.224239784796212,0.37019701410857,-0.0833639197775422,0.159760812336907,0.601806417067765
1,ENSG00000229953.1,1,MR-Egger,3,-0.13572927192354,0.254024681614449,0.593123414032518,0.0157941909747933,0.0780353740072763,0.839605718572004
1,ENSG00000143320.9,1,MR-Egger,3,-0.00723202252525556,0.637327375645423,0.990946261679169,-0.0913424002441436,0.463097132237374,0.843637834232883
1,ENSG00000223356.1,1,MR-Egger,5,-0.0774592142388707,0.172907308102502,0.65416680277991,-0.0419227435510376,0.0750010115996923,0.576187398694531
1,ENSG00000143303.12,1,MR-Egger,3,-0.032001391755306,0.272609672302978,0.906551757125406,0.0812495896246965,0.0796175853310366,0.307492319269586
1,ENSG00000143294.15,1,MR-Egger,4,-0.206849492638069,0.243204012097699,0.395036922690487,0.011026703094024,0.0618745929853758,0.858557651971247
1,ENSG00000027869.12,1,MR-Egger,4,-0.10863234814016,0.168261819668099,0.518528745841342,0.0673591093984701,0.0656293636749221,0.304723679142585
1,ENSG00000253831.3,1,MR-Egger,3,0.152978606674909,0.262348085841194,0.559817162845614,-0.0425924115903769,0.134134012363759,0.750836736274552
1,ENSG00000158473.8,1,MR-Egger,3,-0.715121553514507,0.8829388180301,0.417978509882729,0.456344468489439,0.58938412090439,0.438769109027706
