chr,gene_id,chr,method,n_snps,beta,se,pvalue
1,ENSG00000143815.15,1,Weighted Median,11,0.114695644434278,0.107312932862031,0.285161555763554
1,ENSG00000289602.1,1,Weighted Median,3,0.0891412846364693,0.121324256046942,0.46250036111237
1,ENSG00000196187.12,1,Weighted Median,5,-0.138951907801814,0.166185117065157,0.403083310060429
1,ENSG00000243709.1,1,Weighted Median,8,-0.05353935513927,0.0497702551702264,0.28204803947292
1,ENSG00000143768.13,1,Weighted Median,4,0.0839613290156151,0.0657942637890513,0.201913354558536
1,ENSG00000272562.2,1,Weighted Median,5,0.0203119456470036,0.067740223222562,0.764291127332016
1,ENSG00000163041.13,1,Weighted Median,19,0.053084493654444,0.036048695520833,0.140865027453048
1,ENSG00000225518.3,1,Weighted Median,3,0.00826076131690263,0.0850490872635254,0.922623684765801
1,ENSG00000182827.9,1,Weighted Median,3,-0.0250561113669078,0.151913720365596,0.868993993917473
1,ENSG00000143776.20,1,Weighted Median,17,0.116454033049236,0.0860356578150516,0.175878249922426
1,ENSG00000239887.6,1,Weighted Median,5,0.0699233584610772,0.105594951709264,0.507852876378239
1,ENSG00000117143.13,1,Weighted Median,4,-0.0955591476787417,0.130103997805182,0.462654543538799
1,ENSG00000143248.13,1,Weighted Median,4,0.158204693637968,0.163846687334669,0.334261691363099
1,ENSG00000232995.7,1,Weighted Median,3,-0.0799503235525183,0.0658173654364582,0.224469114171246
1,ENSG00000143512.13,1,Weighted Median,9,-0.0060955789791649,0.0417933560666034,0.884039463656826
1,ENSG00000143498.18,1,Weighted Median,3,-0.0529479540707956,0.0789541685529946,0.502464982311886
1,ENSG00000225265.2,1,Weighted Median,10,-0.0736373220651682,0.0504437238828146,0.144347370566827
1,ENSG00000154305.18,1,Weighted Median,4,0.00543355762046159,0.127216400156469,0.965931798342074
1,ENSG00000272750.1,1,Weighted Median,12,0.00386002481830423,0.0296456459962197,0.896403879055061
1,ENSG00000162819.12,1,Weighted Median,4,0.128412158585823,0.134872902617785,0.341047517300597
1,ENSG00000186063.13,1,Weighted Median,7,0.057845163654214,0.104498930832332,0.579888290780217
1,ENSG00000287684.1,1,Weighted Median,4,-0.0373375587199943,0.0844641290685487,0.658451393025015
1,ENSG00000198715.13,1,Weighted Median,10,-0.217350253909169,0.0644856548387403,0.000750261870469378
1,ENSG00000125462.19,1,Weighted Median,3,-0.0693870382156651,0.20758194950332,0.738180842510349
1,ENSG00000116604.19,1,Weighted Median,3,0.0744432656629305,0.261275282710685,0.775703344842222
1,ENSG00000163382.13,1,Weighted Median,7,0.0741762711142453,0.0717922727244067,0.301507087347745
1,ENSG00000132702.13,1,Weighted Median,4,-0.0363496716687831,0.168902235566506,0.82960257207831
1,ENSG00000272068.1,1,Weighted Median,5,0.118617090044546,0.0886559280609129,0.180913136892629
1,ENSG00000272405.1,1,Weighted Median,3,0.104416764825464,0.0978294322295203,0.285820645087281
1,ENSG00000229953.1,1,Weighted Median,3,-0.0907738834729495,0.120833076431958,0.452512000263769
1,ENSG00000143320.9,1,Weighted Median,3,-0.130037495975904,0.0945106999138952,0.168851861473381
1,ENSG00000223356.1,1,Weighted Median,5,-0.14555425873092,0.0882283692179899,0.0989952233157297
1,ENSG00000143303.12,1,Weighted Median,3,0.149847428621696,0.177970325245531,0.399799229689408
1,ENSG00000143294.15,1,Weighted Median,4,-0.17135930107396,0.13194471054849,0.194039864588901
1,ENSG00000027869.12,1,Weighted Median,4,0.0501207165394692,0.0872644813392346,0.565728176445674
1,ENSG00000253831.3,1,Weighted Median,3,0.0603022706024412,0.110255898711164,0.584426749972135
1,ENSG00000158473.8,1,Weighted Median,3,-0.145362266550252,0.142794109869892,0.308685069245646
1,ENSG00000260464.1,1,Weighted Median,4,0.0441382638686134,0.0605274256715454,0.465862506363258
1,ENSG00000067334.14,1,Weighted Median,3,-0.00440290651678634,0.161820386721332,0.978293354749823
