chr,gene_id,chr,method,n_snps,beta,se,pvalue,intercept,intercept_se,intercept_pvalue
1,ENSG00000143815.15,1,MR-Egger,11,0.417730615838452,0.248711175226198,0.0930388266961071,-0.0551825604944532,0.0474490589652462,0.24483544596875
1,ENSG00000143742.14,1,MR-Egger,4,-0.500286918002346,0.552736266507324,0.365407310573343,0.161188354444799,0.157161838750323,0.305070648294115
1,ENSG00000196187.12,1,MR-Egger,5,-0.550385242683321,0.354659125868726,0.120693072635643,0.0411109921557884,0.0492243606078107,0.403618762811116
1,ENSG00000243709.1,1,MR-Egger,7,0.185866401664958,0.133433058102211,0.163633044903239,-0.124040004895952,0.0649458467556003,0.0561462245663382
1,ENSG00000143811.20,1,MR-Egger,6,-0.492712281308616,0.568719418695121,0.386296121361224,0.101344490997969,0.0866515572160308,0.242176708157412
1,ENSG00000143768.13,1,MR-Egger,4,-0.212138074124956,0.100071585313077,0.0340175810406658,0.113329096332964,0.0505483888608021,0.0249618728655185
1,ENSG00000272562.2,1,MR-Egger,8,0.232157573715761,0.41610087094113,0.576888221911296,-0.089395601201228,0.141892239329182,0.528678489991099
1,ENSG00000163041.13,1,MR-Egger,12,0.00140581616460102,0.119431294882175,0.990608381895054,-0.00184470713355759,0.0437756764676867,0.966387090771249
1,ENSG00000225518.3,1,MR-Egger,5,-0.20153039379728,0.135870375405559,0.138006712210617,0.0821679046027734,0.0576345971458056,0.153963677696626
1,ENSG00000185155.12,1,MR-Egger,6,0.265564437761118,0.220936531994223,0.229365761684074,-0.114592321940185,0.0968794309696983,0.236874791074903
1,ENSG00000203685.11,1,MR-Egger,7,0.0357749296070066,0.200425227461308,0.858334135388894,-0.0222743462235929,0.0507188312350541,0.660536116574817
1,ENSG00000143772.11,1,MR-Egger,3,0.0954122771110208,0.421693197313596,0.820999254489383,0.0024210618314763,0.0561909971731914,0.965632744856313
1,ENSG00000143801.18,1,MR-Egger,6,-0.0970256425669018,0.730921430609046,0.89439561853242,0.00332505374924131,0.136236574715493,0.980528388279141
1,ENSG00000163050.18,1,MR-Egger,4,0.165690564011242,0.334793675102314,0.620668234862762,-0.0145707743079672,0.0598664288018533,0.807704788067682
1,ENSG00000143776.20,1,MR-Egger,11,-0.466111546403489,0.653548301855008,0.475721156617369,0.0757686753021164,0.103685196571347,0.46492763905639
1,ENSG00000162745.11,1,MR-Egger,4,-1.00507727206368,0.911962514938845,0.270416586219921,0.174879108845433,0.148053443765997,0.237527624204677
1,ENSG00000162733.19,1,MR-Egger,4,0.71306257865402,0.524197904190846,0.173737319812672,-0.101088754924986,0.118017832109153,0.391690907706938
1,ENSG00000132196.16,1,MR-Egger,4,0.289778648988824,0.3115655712488,0.352333416431611,-0.0256641331036208,0.0669204633167159,0.701347570107547
1,ENSG00000185860.14,1,MR-Egger,7,-0.0600484058716035,0.106845882411667,0.574109515147664,0.0178344881318375,0.0446940321755621,0.689867332760673
1,ENSG00000143228.13,1,MR-Egger,6,-0.138915897301841,0.126134645546714,0.270752961961735,0.0369379577385932,0.0541791593677076,0.495381685706334
1,ENSG00000143512.13,1,MR-Egger,5,0.0973344391016889,0.0962608555033509,0.311943275076606,-0.0272338381301533,0.0597924511813515,0.648769095835365
1,ENSG00000143498.18,1,MR-Egger,6,0.193210619922093,0.233658390888823,0.408297390853696,-0.0668924442213087,0.07637615657511,0.381123063460751
1,ENSG00000225265.2,1,MR-Egger,13,-0.178485034494275,0.084285260985336,0.0342063779207933,0.0844875999950004,0.0381995925471944,0.0269845749315483
1,ENSG00000154305.18,1,MR-Egger,4,-0.793995439103478,0.532711633978102,0.136098365878794,0.100448508899743,0.092783965284493,0.278983192805386
1,ENSG00000272750.1,1,MR-Egger,7,0.14350514649103,0.106104210305507,0.176217822958236,-0.102943953288167,0.0732673606768795,0.160007838519475
1,ENSG00000162819.12,1,MR-Egger,6,0.209419674415162,0.187267152848247,0.263441583185159,-0.0405004239641785,0.0588787229717117,0.491539818545987
1,ENSG00000186063.13,1,MR-Egger,4,0.679160036332721,1.54260926401472,0.659743699458937,-0.131966038069093,0.315220617586643,0.675474431470008
1,ENSG00000287684.1,1,MR-Egger,3,0.588485388768442,0.913045318094165,0.519231604547368,-0.301347668516361,0.500455934192249,0.54707678465006
1,ENSG00000287338.1,1,MR-Egger,3,0.204215957291076,0.72441959336298,0.778017994275457,-0.0036613688506117,0.444758379826777,0.993431677033168
1,ENSG00000187554.14,1,MR-Egger,3,0.873440793598905,0.704229983639167,0.214872671825039,-0.161824597049829,0.159807835076322,0.311241741665114
1,ENSG00000198715.13,1,MR-Egger,5,-0.0233796123790976,0.785153802774892,0.976244812997867,0.0380966756967909,0.209683716174468,0.855828853908455
1,ENSG00000163468.15,1,MR-Egger,4,-0.895500311917029,13.7679662681805,0.94814031409699,0.0995010089847032,1.71220616422895,0.953658818426226
1,ENSG00000125462.19,1,MR-Egger,3,1.93667458845583,3.34606053138792,0.562729222960117,-0.321498580788209,0.57288150773,0.574664202946423
1,ENSG00000163382.13,1,MR-Egger,9,0.0870265916551726,0.111491870271326,0.435058700733067,-0.0239450341711644,0.0485276746941044,0.621708445007608
1,ENSG00000160818.17,1,MR-Egger,3,-0.527623888468904,0.925099032773315,0.568444985664956,0.228361465471645,0.57562738969969,0.691575785489199
1,ENSG00000272971.1,1,MR-Egger,3,0.416005811352639,0.338609708106172,0.219232978043327,-0.168790743247871,0.109367727134239,0.122750176295075
1,ENSG00000132702.13,1,MR-Egger,3,-0.512611594311714,0.910402773366532,0.573393871893285,0.17044884720371,0.306111263442837,0.577650476891368
1,ENSG00000132692.19,1,MR-Egger,7,-0.294904234547857,0.387933497930211,0.447139375014499,0.0881696980470884,0.0594943554507577,0.138344484428719
1,ENSG00000143320.9,1,MR-Egger,9,-0.137641120543402,0.125406187919089,0.272395605164153,0.0731368972668772,0.0560411147327506,0.191873146476039
1,ENSG00000223356.1,1,MR-Egger,3,5.13776304221014,1.76300651179039,0.0035659523432332,-3.82332243081009,1.30402533347848,0.00336853154598549
1,ENSG00000143321.19,1,MR-Egger,3,-0.397125599768642,0.647755215947859,0.539823615306603,0.129468307142629,0.184800430975531,0.483562389388071
1,ENSG00000027869.12,1,MR-Egger,3,0.113868650428614,0.318788548457392,0.720948235973581,-0.0541759888501742,0.115083491434393,0.637816572888537
1,ENSG00000132694.19,1,MR-Egger,7,-0.281542040425939,0.226329087400592,0.213518010864592,0.0316556725434159,0.0375863058808207,0.399668781438359
1,ENSG00000117036.12,1,MR-Egger,6,-0.426251375382362,0.713707747615957,0.550350374185256,0.104241158310248,0.218587442693749,0.633443734632453
1,ENSG00000137936.18,1,MR-Egger,3,-0.196095452602425,0.662203052876506,0.76713396104317,0.00211181326881698,0.0868843041781147,0.980608496286241
1,ENSG00000260464.1,1,MR-Egger,6,-0.0039246205570525,0.387027854467468,0.991909263252266,0.0454506533904308,0.103585567647086,0.660825304649028
1,ENSG00000023909.10,1,MR-Egger,8,-0.0425002915223457,0.406839719319744,0.916800770862917,0.0147525467816527,0.0610614423420911,0.809088823640978
1,ENSG00000198691.14,1,MR-Egger,4,-0.337712895923706,0.260576389879953,0.194967691402349,0.0958330787270185,0.0851221297879883,0.260237327328639
1,ENSG00000117528.14,1,MR-Egger,11,0.37332694646825,0.300420482850397,0.213985260355664,-0.0365022209022404,0.0397837882507876,0.358872857091793
1,ENSG00000288736.1,1,MR-Egger,7,0.0867153928078955,0.24407888588909,0.722382764252206,-0.0178228099726542,0.0626761650762206,0.776131872828438
1,ENSG00000223675.1,1,MR-Egger,6,-0.108583911005566,0.220835106681427,0.622933714455539,0.0324145225645639,0.112038194576001,0.772339021231599
1,ENSG00000143036.17,1,MR-Egger,6,-0.23005892954098,0.255655088959282,0.368184056127137,0.0492524177302513,0.0593221197159073,0.40639528006737
1,ENSG00000224081.10,1,MR-Egger,7,-0.245071652616694,0.19506964696305,0.20899671527762,0.0302516215257671,0.0376852918986287,0.42212302910433
1,ENSG00000117519.16,1,MR-Egger,7,-0.975791040377456,0.538732653531913,0.0700988526258732,0.122937748615809,0.0673861258979086,0.068094983687921
1,ENSG00000235501.7,1,MR-Egger,21,-0.0702777606186369,0.0719507227187047,0.328693676912117,0.028747269991996,0.022682655248825,0.205023758806982
1,ENSG00000152078.10,1,MR-Egger,4,0.114492965026888,1.50322768843153,0.939288024535919,0.0143910762695256,0.159550458841422,0.928130152613784
1,ENSG00000226026.7,1,MR-Egger,7,-0.167033190963223,0.196854922763652,0.39615451344303,0.0613671003524606,0.0703955237794562,0.383346307743975
1,ENSG00000122481.17,1,MR-Egger,32,0.0544435632532568,0.0810472746832302,0.501742420770458,-0.00927930610254612,0.0293337950741713,0.751748246936465
1,ENSG00000287919.1,1,MR-Egger,9,0.273180446641288,0.135137504354914,0.0432280464353305,-0.151844452399433,0.0611618231972358,0.0130402853653482
1,ENSG00000228971.3,1,MR-Egger,11,-0.471109019322866,0.226090622571794,0.037185858366219,0.134601948499253,0.0544101323329388,0.0133669637214651
1,ENSG00000213625.9,1,MR-Egger,18,0.252651293896981,0.182658022815757,0.166605703337847,-0.0567457170869197,0.031496318325404,0.0715986140669664
1,ENSG00000116678.20,1,MR-Egger,6,-0.346744307838959,0.361060878772787,0.336879800093286,0.0793150040172265,0.0806027213382622,0.325103762922279
1,ENSG00000118473.23,1,MR-Egger,5,0.492292169636287,0.646213561037398,0.446173210985714,-0.0116680580252345,0.0739995961204595,0.874711072626132
1,ENSG00000152760.10,1,MR-Egger,12,0.0370224073830494,0.147668791896042,0.80203641979793,-0.021553243694239,0.0547434992438928,0.693792721512058
1,ENSG00000198160.15,1,MR-Egger,3,24.5349829555244,20.6189554108013,0.234076396867744,-2.75275145409094,2.30478017452386,0.232334766772352
1,ENSG00000289394.1,1,MR-Egger,3,-0.228707496748409,0.297709147315246,0.442353748730895,0.052185472793885,0.136580290457392,0.702397272083225
1,ENSG00000116704.8,1,MR-Egger,11,0.119888812906448,0.153108385406077,0.433608138058989,-0.0236718866512958,0.0399899111593558,0.553886436085277
1,ENSG00000203963.12,1,MR-Egger,3,0.150677772917643,0.398694221783412,0.705483963875374,-0.0331337521167207,0.16560343681961,0.841418881486584
1,ENSG00000081985.13,1,MR-Egger,5,-0.0746269318402825,0.353884716411519,0.832981522026671,-0.040658109081657,0.0893668251285488,0.64913980067437
1,ENSG00000132854.19,1,MR-Egger,14,0.0375762393680301,0.107286763031804,0.726157726141116,-0.0469160209146132,0.0433959215586679,0.279645560263348
1,ENSG00000116641.18,1,MR-Egger,4,-0.357911420621168,1.1108851949618,0.747311951351149,0.072442633180157,0.104140461327131,0.486664158136731
1,ENSG00000235545.1,1,MR-Egger,9,-0.0979691825551529,0.182669953358628,0.591738798118953,0.0725926338372369,0.0507554299274088,0.152647087465783
1,ENSG00000125703.15,1,MR-Egger,8,-0.44917532047544,0.473660733569397,0.342973692034305,0.11760377910438,0.0733732202203869,0.108975259940343
1,ENSG00000088035.18,1,MR-Egger,6,-0.387053296222577,0.427515002358796,0.365276788437785,0.110360102368169,0.111090398046454,0.320502340994122
1,ENSG00000203965.13,1,MR-Egger,18,-0.224259396867499,0.24836937850158,0.366564684516526,0.0653698205569284,0.0620601517888859,0.292189767551255
1,ENSG00000142856.17,1,MR-Egger,26,0.0813119626272663,0.0369305073008505,0.0276825551800832,-0.0889327273856605,0.0308703749219192,0.00396612173230815
1,ENSG00000116652.6,1,MR-Egger,4,-0.231195527920069,2.13664394223293,0.913833089901023,0.0351685872512424,0.555441659580354,0.949514526610898
1,ENSG00000079739.17,1,MR-Egger,3,0.819892055158888,0.616173611673332,0.18331454629775,-0.158526306272303,0.117084353540659,0.175752477795539
1,ENSG00000185483.13,1,MR-Egger,3,0.157052542468485,0.395329959205189,0.691168722685235,-0.0138412861614167,0.111775454549773,0.901448945655373
1,ENSG00000270171.1,1,MR-Egger,17,-0.0108144402966655,0.0913505284530811,0.905763408532346,0.00788361980945749,0.0415846675300699,0.849638288199574
1,ENSG00000270035.1,1,MR-Egger,4,0.483037775025472,0.211603384306303,0.0224450570767285,-0.117667868922333,0.0954483992740977,0.217653979387816
1,ENSG00000269978.1,1,MR-Egger,3,0.347272301834249,0.751554212479788,0.644029551559077,-0.0852560849062936,0.22833670193577,0.70886653193996
1,ENSG00000049245.13,1,MR-Egger,4,1.56263914952698,1.90567259439042,0.41221980996223,-0.153110867660431,0.27668566102301,0.580006802584815
1,ENSG00000269925.1,1,MR-Egger,4,0.355240038593939,0.655567713853272,0.587900118393045,-0.156429023391044,0.257419309230147,0.543398551160741
1,ENSG00000236266.1,1,MR-Egger,5,0.0266789177722436,0.360757520466016,0.941048187305942,0.00699192057660725,0.0923992445692393,0.939681043576616
1,ENSG00000116288.13,1,MR-Egger,7,0.470263979381363,0.712997554078291,0.509536849339968,-0.0549908163270013,0.10037037895824,0.583775033827333
1,ENSG00000284747.1,1,MR-Egger,5,0.185442053059501,0.551375092860939,0.736624671447071,-0.0497937281212319,0.157401188485767,0.75173752845949
1,ENSG00000238290.1,1,MR-Egger,9,-0.0993647841647507,0.108955873101938,0.361783077344791,0.0420082658220409,0.0543142039070461,0.439267602431807
1,ENSG00000162426.16,1,MR-Egger,3,-0.45820279245681,0.696735483561314,0.510767945510813,0.122925018095447,0.188565988720653,0.514469619296001
1,ENSG00000142599.19,1,MR-Egger,13,-0.0848292118845043,0.293034160670687,0.772209688100346,-0.000294088331212583,0.0546788399389547,0.995708624982927
1,ENSG00000074800.16,1,MR-Egger,3,0.704087985809371,0.442858206028391,0.111863597086936,-0.158995920153259,0.116156450459002,0.171059187792101
1,ENSG00000230679.1,1,MR-Egger,4,-0.0765011938541892,0.15701013476823,0.626090176325126,-0.00125633203342298,0.0581239662987416,0.982755308203436
1,ENSG00000142583.18,1,MR-Egger,6,-0.19123210985087,0.366669954190471,0.601992429915774,-0.00182343651099985,0.068319509155902,0.978707119755889
1,ENSG00000180758.12,1,MR-Egger,3,-0.402919139800808,0.365137898668276,0.26982261005763,0.153299715825839,0.108658085235648,0.158290323634421
1,ENSG00000228526.7,1,MR-Egger,4,0.071016145795974,0.235662848546535,0.763150379120421,-0.048877670494852,0.0780696656936923,0.531264030684565
1,ENSG00000049239.13,1,MR-Egger,5,-2.35298154171593,1.25157434025168,0.060105706058833,0.455389442115923,0.245587782142071,0.0636985707543654
1,ENSG00000284652.1,1,MR-Egger,3,-0.0114085922060496,0.373102991296408,0.975606410297209,0.00108798000507637,0.143364032668181,0.993944965832719
1,ENSG00000284693.2,1,MR-Egger,4,-0.968289148656632,0.697297716743745,0.164945019354652,0.151930669615197,0.105019366980621,0.147983228586624
1,ENSG00000171612.7,1,MR-Egger,5,-0.332034463017478,0.611404806510976,0.587082896835568,0.0193085066301881,0.0741583546781491,0.794579465146172
1,ENSG00000008118.10,1,MR-Egger,5,0.493754619543179,0.442049398216173,0.264008406873015,-0.0541690619224186,0.0984167237400872,0.582041584516534
1,ENSG00000196878.15,1,MR-Egger,4,-1.05477147447632,0.518541206640808,0.0419401909032267,0.220842719365607,0.12693204495478,0.0818853589002535
1,ENSG00000227591.6,1,MR-Egger,3,0.266690010330608,0.572783092194881,0.64149908993706,-0.089438279079851,0.199382440466727,0.6537371828919
1,ENSG00000162757.4,1,MR-Egger,3,-0.482722037473694,0.382910187074372,0.207429035846194,0.12090190299408,0.0751908311140569,0.10784960774045
1,ENSG00000117595.12,1,MR-Egger,9,-0.0173667787052428,0.595724732116974,0.976743080492501,0.0083249448412414,0.21406573678654,0.968978356287396
1,ENSG00000117597.18,1,MR-Egger,11,0.0796967092085202,0.1883097193478,0.67213371086506,-0.0372313088742585,0.0572039530185991,0.515142010583864
1,ENSG00000143469.20,1,MR-Egger,5,-0.133813053553734,0.339578413678536,0.693539385969602,0.0324320971348909,0.08723378450326,0.710053918042182
1,ENSG00000082497.12,1,MR-Egger,6,-0.273801683777075,0.31777591603808,0.388897356183502,0.0183814083778526,0.062934604175481,0.770231906555943
1,ENSG00000203706.8,1,MR-Egger,9,-0.0762633818066311,0.351573076029716,0.828270358089059,0.0596606951452114,0.108630932249191,0.582864495548408
1,ENSG00000054392.13,1,MR-Egger,12,-0.238190272193653,0.122778383596635,0.0523794839795526,0.133978554615977,0.0507849266784383,0.00833582467982508
1,ENSG00000287354.1,1,MR-Egger,8,-0.278827437922687,0.241947018178202,0.249143679389211,0.114945092771075,0.13682395743923,0.400855245239962
1,ENSG00000170382.12,1,MR-Egger,3,-0.875257093413093,1.21078242985895,0.469750216785565,0.150907838877494,0.173066623265656,0.383228099843397
1,ENSG00000163531.17,1,MR-Egger,3,-0.309842187393541,0.714725714100933,0.664642836314936,0.0125246485004248,0.071083364281742,0.860139476365113
1,ENSG00000229657.2,1,MR-Egger,6,-0.335616763471959,0.313266551222569,0.284014031573411,0.152309603352838,0.135698730400939,0.261688181622244
1,ENSG00000174529.7,1,MR-Egger,9,-1.10019775064481,1.19981471805749,0.359156767208535,0.328056671103301,0.328794512638783,0.318397730237781
1,ENSG00000117222.14,1,MR-Egger,10,0.435236925971285,0.680905529354683,0.522690814940625,-0.0354674639981177,0.10060661284064,0.724436242067896
1,ENSG00000133059.17,1,MR-Egger,8,-0.689139725173522,0.233194142545955,0.0031244733032787,0.0590728213483098,0.0390046013255165,0.129896782530026
1,ENSG00000133069.17,1,MR-Egger,7,-0.00447060370001048,0.409931695358004,0.991298660230359,0.00457570113821483,0.0611223194378901,0.940325005160723
1,ENSG00000186007.10,1,MR-Egger,7,-0.000511439412391075,0.258133483138642,0.998419153768861,0.00295966088408984,0.113124721311568,0.979127476968353
1,ENSG00000281406.2,1,MR-Egger,3,-0.752345820574543,0.759171429384746,0.321681120324995,0.115430404379253,0.147945019738663,0.435258444145203
1,ENSG00000117266.16,1,MR-Egger,6,-0.276019575507654,0.391674819159317,0.480986891054538,0.144640561842842,0.109814834091553,0.18779459664286
1,ENSG00000174514.13,1,MR-Egger,3,0.619737888055038,3.08067769196333,0.840566167068739,-0.0674368916942007,0.462333607504743,0.884030352429178
1,ENSG00000158711.14,1,MR-Egger,4,0.481514195165638,0.316864339643255,0.128605867601647,-0.1387947959209,0.0547680605259429,0.0112695124479225
1,ENSG00000069275.13,1,MR-Egger,5,2.24349276051318,0.910253835557611,0.0137132159012314,-0.305101129591969,0.104170460719461,0.00340203056545141
1,ENSG00000117280.13,1,MR-Egger,9,0.167282295964217,0.265911948243075,0.529290756164814,-0.0358238930382329,0.0669744766334823,0.59272679889013
1,ENSG00000286619.1,1,MR-Egger,20,0.0567174050681991,0.0531399425859954,0.285826667071739,-0.0112055566883381,0.0371164676620897,0.762726342466211
1,ENSG00000133065.11,1,MR-Egger,5,-0.229717774092269,0.427122946023807,0.590697263515694,0.0404814380838869,0.075047472986087,0.589603240837886
1,ENSG00000162877.13,1,MR-Egger,11,-0.122494394861646,0.0925454039593194,0.185631264036482,0.0402263578440886,0.0512499356297966,0.432508960009903
1,ENSG00000276600.5,1,MR-Egger,5,-0.494123608254916,0.336776534268851,0.142317557093388,0.103247080601472,0.101407636859159,0.30861185383091
1,ENSG00000198049.7,1,MR-Egger,3,-0.373982063447567,0.284024121107683,0.18793034523649,0.099786213816977,0.105346847541875,0.343528751613517
1,ENSG00000266028.8,1,MR-Egger,3,0.703499956255493,0.27031365305597,0.00925381546814874,-0.109131285567824,0.0581527331341219,0.0605685349904861
1,ENSG00000263528.8,1,MR-Egger,4,-0.267323978266134,0.13059423218406,0.0406599002746675,0.101799029435946,0.0629409838824658,0.105797853633019
1,ENSG00000266094.8,1,MR-Egger,7,1.01090530624063,0.723626265634837,0.162413814994718,-0.127113249140062,0.122087982299827,0.297800819723964
1,ENSG00000175147.13,1,MR-Egger,6,-0.123590101683868,0.202257461350355,0.541164254118947,0.0423618077319274,0.0779790604576679,0.586960482323712
1,ENSG00000171729.14,1,MR-Egger,3,0.951087138934721,0.683644086878551,0.164164128630106,-0.188222142460391,0.127558653293978,0.140058478314955
1,ENSG00000142621.21,1,MR-Egger,7,0.0217698973095919,0.128624512836815,0.865598788820503,-0.0129163819525827,0.0471389169215031,0.784079425749033
1,ENSG00000228140.2,1,MR-Egger,8,0.218958362168097,0.0728662850655263,0.00265638667025736,-0.119764172567666,0.0407344198098531,0.00328082812344599
1,ENSG00000142634.13,1,MR-Egger,3,-0.250773416452816,0.475666169228222,0.598051479620635,-0.00145613743569696,0.0628139768871493,0.981505302093167
1,ENSG00000142615.8,1,MR-Egger,3,-3.3525275871471,3.75934786399757,0.372508532248541,1.13034978624395,1.23185058646452,0.358826749886671
1,ENSG00000215704.10,1,MR-Egger,3,1.027868007637,2.11626840153487,0.627181074849191,-0.353092160248162,0.742033220592712,0.634185420202473
1,ENSG00000132906.18,1,MR-Egger,4,0.152966794077275,0.293799654756083,0.602610602335037,0.0573189341718783,0.151531669985756,0.705234689067179
1,ENSG00000116138.13,1,MR-Egger,4,0.507154554722341,0.901700442311553,0.573814642287687,-0.100257009492318,0.119551180166846,0.40168728494559
1,ENSG00000116771.6,1,MR-Egger,8,0.206820363688677,0.1841995062002,0.261519774509921,0.0190880336651715,0.0470289038143124,0.684831677261655
1,ENSG00000197312.12,1,MR-Egger,6,-0.771384140887385,0.518021978895616,0.136462251485369,0.166654978020402,0.101701186796353,0.10128140229573
