gene_id	n_snps	min_pval	chr
ENSG00000000457.14	4	2.33101754551974e-08	1
ENSG00000000971.16	2	6.99311238357945e-05	1
ENSG00000001460.18	4	3.75569076079972e-17	1
ENSG00000001461.17	2	1.19323023032516e-05	1
ENSG00000004455.17	2	2.38467998111267e-07	1
ENSG00000007341.19	4	8.81200125349732e-14	1
ENSG00000007933.13	5	4.69568217470915e-08	1
ENSG00000008118.10	2	6.33627888281729e-08	1
ENSG00000008128.23	3	7.77114398467691e-06	1
ENSG00000008130.15	7	3.25068250208506e-10	1
ENSG00000009709.12	4	2.98797984507745e-07	1
ENSG00000009724.17	2	1.10086237044283e-05	1
ENSG00000010072.16	1	9.62428231543312e-05	1
ENSG00000010803.16	1	2.1038958722092e-05	1
ENSG00000011021.23	1	6.8833145196843e-05	1
ENSG00000014914.21	3	3.00706512676295e-06	1
ENSG00000016602.9	3	8.58449001259871e-06	1
ENSG00000020633.19	2	1.5028857543537e-05	1
ENSG00000023572.10	14	6.07636913589843e-11	1
ENSG00000023909.10	1	2.13057124400724e-08	1
ENSG00000025800.14	4	2.25241886171595e-08	1
ENSG00000035687.10	2	4.02420126866e-05	1
ENSG00000037637.11	5	1.17273419800628e-14	1
ENSG00000040487.13	5	1.05872239130676e-06	1
ENSG00000041988.16	3	2.99638129152529e-08	1
ENSG00000043514.17	4	3.47702396876411e-10	1
ENSG00000048707.15	6	3.90641899382207e-07	1
ENSG00000049239.13	3	6.93119121633011e-09	1
ENSG00000049245.13	2	7.87626745419581e-10	1
ENSG00000049246.15	1	4.50450291017372e-05	1
ENSG00000050628.21	14	1.40988530612774e-27	1
ENSG00000053371.13	3	2.16748956603867e-07	1
ENSG00000053372.5	13	1.58486566828379e-21	1
ENSG00000054118.15	3	3.81404932557044e-05	1
ENSG00000054267.22	1	2.94547662685975e-05	1
ENSG00000054282.16	7	8.79216789041595e-09	1
ENSG00000054392.13	8	9.28686636485191e-18	1
ENSG00000055070.17	1	3.11792702843976e-05	1
ENSG00000055732.13	4	7.89170028411512e-12	1
ENSG00000057252.13	13	1.03011902220255e-09	1
