"gene_id","pvalue","beta","se","chr","n_snps"
"ENSG00000111325.16",8.39806973771265e-16,0.509637378825077,0.0633226932217409,12,9
"ENSG00000197168.14",9.95399634704489e-16,-0.255303845191377,0.0318039536059282,13,14
"ENSG00000122477.13",2.17998681771562e-10,0.270023207579878,0.0425361063963677,1,8
"ENSG00000254800.2",2.79374567891341e-10,0.151578438276572,0.0240226551173232,11,27
"ENSG00000260261.2",2.68803289058837e-09,-0.216471720127341,0.0363842652519633,3,27
"ENSG00000112981.5",3.85314643101954e-09,0.185854559437579,0.0315522328809444,5,27
"ENSG00000276805.2",8.86101535159719e-09,-0.264785845892493,0.0460400725375075,10,19
"ENSG00000100150.20",1.37799275709632e-08,-0.467821860396918,0.0824195770813071,22,15
"ENSG00000224843.8",1.52906133487014e-08,-0.197964551395543,0.0349867607690856,6,24
"ENSG00000143412.10",5.31123347516802e-08,0.218753989239279,0.0402079662162863,1,20
"ENSG00000286543.1",6.4654640521615e-08,-0.283189083150492,0.0523897834692489,5,6
"ENSG00000119718.11",1.29765531486985e-07,-0.25623757778467,0.0485374114589224,14,7
"ENSG00000137806.10",1.3719838221227e-07,0.110315160326088,0.0209367972219326,15,19
"ENSG00000218739.10",1.55340200988821e-07,0.304028046095685,0.0579529923707891,2,13
"ENSG00000146197.9",2.29377614892966e-07,0.319479689159297,0.0617494977661004,6,12
"ENSG00000286654.1",2.3666284856848e-07,0.373508345491819,0.0722738450246044,2,10
"ENSG00000122507.21",2.98689966776295e-07,0.182625451840218,0.0356392989064639,7,20
"ENSG00000010704.19",3.92021829099687e-07,-0.455094637929306,0.0897128597446347,6,15
"ENSG00000152931.9",4.13603323620101e-07,-0.218766516118154,0.043212388933405,5,41
"ENSG00000120333.4",4.57131305200058e-07,0.34256769649061,0.0679228297190531,1,27
"ENSG00000177692.12",6.33530629265022e-07,-0.208419726838781,0.0418454271617558,21,9
"ENSG00000144026.12",6.59392308870676e-07,-0.0758165584360221,0.0152457694160308,2,62
"ENSG00000168778.13",8.01847914076944e-07,-0.169886230325909,0.0344253460092487,12,24
"ENSG00000260000.2",8.20079562043041e-07,0.360069840813766,0.0730286679647372,6,13
"ENSG00000114656.13",8.94790413676475e-07,0.542984592277415,0.11050942416547,3,4
"ENSG00000154898.15",1.10712998101071e-06,0.221595950562201,0.0454875521343344,17,17
"ENSG00000174132.9",1.15932108858697e-06,0.385461507642229,0.0792728385532015,5,12
"ENSG00000023516.9",1.24483205795353e-06,0.345582168681912,0.0712780843075393,13,18
"ENSG00000224389.9",1.31787541494217e-06,-0.182379503386102,0.0377047820601222,6,38
"ENSG00000130413.16",1.58253591752594e-06,0.390305370787484,0.0813047985212657,11,19
"ENSG00000258983.2",1.64626727123276e-06,-0.118504220583207,0.0247264557091748,14,12
"ENSG00000169231.13",1.95869394784755e-06,0.207236853576382,0.043558750339434,1,24
"ENSG00000167842.16",1.98505375028419e-06,-0.289113604781746,0.0608027873248124,17,20
"ENSG00000167183.3",2.25203603265128e-06,0.115444641404566,0.0244100869989999,17,18
"ENSG00000168569.8",2.29323402188272e-06,-0.278228887047484,0.0588756916166715,11,12
"ENSG00000078098.15",3.04606973614039e-06,0.669724025634405,0.143480868361733,2,3
"ENSG00000164049.14",3.05616871846495e-06,0.285413141877011,0.0611554809215945,3,6
