"gene_id","pvalue","beta","se","chr","n_snps"
"ENSG00000255190.2",2.75792669342763e-11,-0.0744183018602114,0.0111756828641457,11,79
"ENSG00000112981.5",2.11500058498283e-10,0.247392901379618,0.0389426504898656,5,27
"ENSG00000219061.4",7.41035999503711e-10,-0.118487337210992,0.0192441141229871,11,46
"ENSG00000197168.14",1.33887015002755e-09,-0.251399997676585,0.0414669342279578,13,14
"ENSG00000289407.1",1.34504202365288e-08,0.26416606938218,0.0465061283809376,1,15
"ENSG00000152061.24",5.09432237865959e-08,0.459414274314883,0.0843273518189266,1,38
"ENSG00000254800.2",2.3441073417488e-07,0.166541478378666,0.0322146264294083,11,27
"ENSG00000111325.16",5.21523405196352e-07,0.511614008997998,0.101951284269998,12,9
"ENSG00000132763.15",5.40227120024152e-07,-0.474367147033979,0.0946567525003948,1,9
"ENSG00000120333.4",6.39207894079319e-07,0.484425739659248,0.0972942047374899,1,27
"ENSG00000224843.8",7.50789942741775e-07,-0.238856764728567,0.0482759049460345,6,24
"ENSG00000117500.13",1.21215425847238e-06,0.483001142782246,0.0995131692090282,1,12
"ENSG00000198502.6",1.21723975049749e-06,-0.0806055156040658,0.0166100685695934,6,64
"ENSG00000122477.13",1.46992427266964e-06,0.280300442637682,0.0582106019821218,1,8
"ENSG00000226824.8",3.17187030265194e-06,-0.0588730163830811,0.0126354175014522,7,105
